F_CODE,F_NAME,F_SIZE,F_CAL,F_CARBO,F_PROTEIN,F_FAT,F_SUGAR,F_NA,F_COLE
D000006,꿩불고기,500,368.8,39.7,33.5,8.5,16.9,1264.31,106.18
D000007,닭갈비,400,595.61,44.9,45.9,25.8,21.2,1535.83,193.4
D000008,닭갈비,300,558.47,23.1,45.5,31.6,8.5,1016.94,217.67
D000009,닭꼬치,70,176.72,13.35,11.56,8.57,3.15,286.91,31.44
D00001,가자미구이,200,314,3.5,43.2,14.2,0.4,1331.18,225.55
D000010,더덕구이,100,184,31.1,3.1,5.2,11.6,743.37,0.12
D000011,도미구이,250,397,2.1,61.1,16.5,0,1582.17,211.24
D000012,돼지갈비,100,240.32,8.1,19.5,14.4,4.5,404.66,49.34
D000015,병어구이,250,488,0.2,54.6,30.8,0,1567.94,198.51
D000016,불고기,150,395.29,7.8,34.4,25.2,7.9,560.71,68.85
D000017,붕장어소금구이,100,296.54,11.6,26,16.2,0.4,124.75,167.07
D00002,갈치구이,250,481.32,0.35,61.99,25.77,0.35,1022.03,198.95
D000020,소양념갈비구이,300,989.15,26.2,60.1,71.6,13.9,1378.45,186.63
D000021,양념왕갈비,150,480.81,13.7,27.1,35.3,6.8,548.76,58.52
D000022,양념장어구이,150,433.35,8.8,30.77,30.56,4.18,704.64,215.24
D000023,임연수구이,250,494,3.5,53.8,29.4,0,1568.96,212.61
D000024,짚불구이곰장어,200,326.21,2.3,42.7,16.2,1.2,826.79,341.83
D000025,햄버그스테이크,200,457.7,20.76,26.96,29.65,5.33,950.22,70.28
D000026,황태구이,200,437.57,26.9,47.8,15.4,14.2,1135.33,211.58
D000027,훈제오리,250,797.14,12.08,43.06,64.07,0.27,1220.37,171
D000028,게국지,1100,415.25,31.7,44.9,12.1,10.8,4047.26,388.15
D000029,곰치국,1000,419.29,23.9,54.3,11.8,2.8,3802.06,476.47
D000030,굴국밥,650,683,88.4,42.4,17.8,0.3,1635.39,518.37
D000032,김치국,450,89,10.5,5.4,2.8,2.9,1642.08,0
D000036,떡만둣국,700,624.92,110.71,20.06,11.32,0.16,1980.19,122.42
D000037,만둣국,700,434.05,47.83,21.43,17.45,3.05,2367.99,94.52
D000038,맑은감자국,700,221,34.6,8.3,5.5,5.2,1712.29,5.46
D000039,매생이국,500,119,13.4,10,2.8,0.4,1420.3,6.62
D000040,무된장국,450,104,14.7,6.1,2.4,5.9,1741.46,0
D000041,미소된장국,150,38,2.8,2.8,1.8,0.7,517.03,0
D000044,바지락조개국,550,157,10.1,22,3.1,1.3,1596.17,89.36
D000046,뼈다귀해장국,1000,714,23.4,74.6,35.7,5.7,3088.21,321.72
D000047,선지해장국,1000,312,16.7,49.3,5.4,3.9,3074.53,230.52
D000049,소고기무국,400,123,7.8,14.2,4,3.5,1067.02,38.43
D000050,소고기미역국,650,151,7.7,18.1,5.3,0,1908.91,42.18
D000052,순대국,800,540.3,17.26,43.52,33.02,0,1504.04,246
D000054,시래기된장국,450,99,11,6.7,3.1,1.3,1523.66,0
D000060,올갱이국,600,144.26,13,13.7,4.2,1.6,2017.16,85.36
D000062,우거지해장국,600,154.38,13.5,11.9,5.9,2.5,2049.59,22.37
D000063,우렁된장국,500,245,19.2,24.6,7.7,3.6,2134.21,105.38
D000064,탕국,250,92.15,0.24,13.18,4.27,0.08,656.75,30.12
D000066,홍합미역국,650,167,11.6,19.7,4.7,0,2043.68,58.4
D000067,황태해장국,600,181.7,5.7,24.5,6.8,1.5,1533.09,150.3
D000068,고추잡채,200,256.77,26.17,10.99,12.01,2.09,828.55,39.26
D000070,난자완스,200,346.25,19.15,21.63,20.35,0.5,703.23,76.76
D000071,도토리묵말이,1300,462.39,89.7,6.8,8.5,6.3,3206.03,0
D000072,라조기,200,398.99,26.23,20.66,23.49,0.15,648.52,90.58
D000074,물회,700,529.36,55.3,34.4,18.9,20,2095.9,120.26
D000075,생선물회,800,577.97,82.5,34.3,12.3,52,2779.74,101.88
D000076,소고기샤브샤브,600,263.75,14.7,29.1,9.8,2.4,1122.4,76.02
D000079,오징어순대,350,466.86,58.3,45.7,5.6,0.4,1258.71,517.44
D000081,초당순두부,900,522.69,15.8,49.1,29.2,0.9,1203.36,0
D000085,해파리냉채,150,91,13.4,6.2,1.4,11.4,508.77,40.33
D000087,고들빼기,50,55.53,10.93,1.58,0.61,2.84,742.43,2.98
D000097,열무얼갈이김치,50,17.68,2.61,1.07,0.33,0.46,339.9,1.03
D000105,미나리나물,50,29.53,2.24,1.02,1.83,0,150.33,0
D000109,취나물,50,74.1,3.31,1.38,6.15,0,281.86,0
D000110,콩나물,50,25.34,0.94,1.68,1.65,0.02,213.95,0
D000112,경단(깨),100,319.47,74.22,4.44,0.54,26.64,180,0
D000113,경단(콩),100,314.32,74.03,3.51,0.46,20.55,225.83,0
D000114,기피편,100,219.97,48.99,5.45,0.25,2.08,281.06,0
D000116,녹두시루떡,100,246.07,48.08,7.74,2.53,4.05,263.66,0
D000117,메밀전병,100,167.83,21.62,6.19,6.29,0.62,345.81,8.05
D000119,무지개떡,100,228.97,53.01,3.53,0.31,8.99,276.82,0
D000121,송편(깨),100,224.15,44.96,4.93,2.74,1.15,231.82,0
D000122,송편(콩),100,194.33,41.66,5.24,0.75,1.26,233.5,0
D000123,수수부꾸미,100,247.89,42.1,5.73,6.29,0.24,261,0
D000124,수수팥떡,100,204.24,43.03,6.7,0.59,2.82,241.93,0
D000125,시루떡,100,217.48,47.54,5.47,0.61,3.22,277.91,0
D000126,쑥떡,100,248.64,57.89,3.36,0.4,10.73,254.32,0
D000129,절편,100,192.89,43.94,3.64,0.29,0.07,265.87,0.03
D000131,찹쌀떡,100,276.87,65.61,3.27,0.15,17.54,225.61,0
D000136,간자장,650,824.54,134.22,22.33,22.03,12.16,2716.2,28.73
D000137,굴짬뽕,900,680.67,115.69,32.87,9.61,1.7,2662.35,163.31
D000138,기스면,1000,606.93,89.79,37.82,10.72,0.5,2764.59,416.55
D000139,김치라면,650,552,86.2,13.8,16.9,1.2,2531.6,45.65
D000140,김치우동,800,500.18,99.14,15.55,4.6,2.13,2874.6,14.13
D000141,냉김치말이국수,600,302.53,52,12.9,4.8,8.3,2121.62,88.95
D000142,닭칼국수,900,663,94.7,42.2,12.8,5.3,2125.17,95.67
D000143,둘깨칼국수,600,457.88,59.8,17.6,16.5,1.4,1192.57,3.36
D000147,막국수,1000,571.59,109.8,20,5.8,9.4,3260.05,43.17
D000152,삼선우동,1000,691.66,105.9,47.94,8.48,0.8,2722.32,620.9
D000153,삼선자장면,700,803.9,126.53,33.64,18.14,10.15,2628.24,166.57
D000154,삼선짬뽕,900,662.37,101.73,39.63,10.77,1.09,2689.13,312.48
D000156,쌀국수,600,320.32,55.1,15.6,4.2,4.3,1651.58,33.6
D000157,열무김치국수,800,431,69.6,15,10.2,18.6,3007.45,15.37
D000158,열무냉면,800,525.49,97.52,20.84,5.78,27.15,3152.37,67.78
D000159,오일소스스파게티,400,646.74,89.42,19.56,23.43,1.41,1124.33,31.62
D000160,올갱이국수,1500,566,111.6,11.2,8.3,18.6,3862.84,0
D000161,우동(일식),700,421.51,74.2,13.39,7.91,2.48,2390.32,25.98
D000162,우동(중식),1000,648.47,85.37,29.45,21.02,1.1,3395.86,208.42
D000163,울면,1000,728.86,128.18,37.46,7.37,0.5,2799.92,445.79
D000164,자장면,650,796.5,133.63,19.77,20.32,7.8,2391.58,10.76
D000167,짬뽕라면,750,689,92,21.3,26.3,1.6,2493.81,106.69
D000169,치즈라면,600,595,80,16.8,23,0.9,2113.4,103.67
D000171,크림소스스파게티,400,837.57,73.76,21.79,50.59,9.17,1030.21,126.58
D000172,토마토소스스파게티,500,642.58,93.2,24.35,19.15,15.6,1508.63,49.17
D000173,해물칼국수,900,628.26,123.9,22.8,4.61,3.81,2355.07,26.7
D000174,해물크림소스스파게티,500,917.57,86.97,30.39,49.79,8.36,1323.7,210.89
D000175,해물토마토소스스파게티,500,584.44,87.24,27.97,13.73,13.48,1533.16,159.64
D000178,골뱅이무침,100,108.79,15.69,7.08,1.97,10.47,525.52,38.35
D000180,노각무침,150,84,14.3,2.6,1.8,7.1,817.37,0
D000181,단무지무침,50,20,2.8,0.5,0.8,0.7,428.92,0
D000182,달래나물무침,150,136,23.8,4,2.8,11.2,867.04,0
D000183,더덕무침,150,216,43.4,4.3,2.8,20.2,1246.58,0.17
D000185,도토리묵,100,45.6,10.38,0.29,0.32,0.43,124.15,0
D000190,밴댕이무침,400,600.01,46,29.8,33,27,1027.23,101.51
D000194,서대회무침,300,315.21,45.9,22.6,4.6,22.3,1198.9,67.71
D000195,쑥갓나물무침,150,96,6.6,4.5,5.7,0.3,709.99,0.05
D000198,우거지나물무침,150,129,8.7,4.5,8.5,1.5,772.52,1.31
D000200,쥐치채,20,55.92,10.9,2.75,0.15,4.55,296.34,8.57
D000201,청포묵무침,250,149,22.7,2.9,5.2,1.8,724.02,0
D000202,탕평채,100,97.5,12.26,3.55,3.81,0.4,260.4,47.24
D000205,홍어무침,200,198.94,25.95,17.85,2.63,14.46,802.04,57.03
D000206,고추장불고기 삼각김밥,100,165.29,34.11,3.66,1.58,0.21,342.92,3.51
D000207,곤드레나물밥,350,521.83,98.9,10.3,9.5,0,90.62,0
D000208,국밥,800,418.35,58.6,27.6,8.2,0.4,2301.55,47.81
D000212,농어초밥,250,396.74,78.75,17.43,1.34,13.01,1035.04,26.5
D000213,돼지국밥,1200,911.4,74.7,66.4,38.6,0,1096.58,142.55
D000214,류산슬덮밥,550,574.99,73.95,26.96,19.04,0.42,1579.35,120.87
D000215,멍게비빔밥,400,547.21,90.7,16.6,13.1,16.7,1144.8,21.9
D000216,멸치주먹밥,150,312,54.3,9,6.6,0.9,496.21,42.45
D000217,묵밥,950,642.16,128.6,14.8,7.7,15.1,2075.5,42.65
D000218,문어초밥,250,392.23,81.78,14.61,0.74,13.38,1200.86,70.08
D000222,비빔밥,450,691.62,98.7,24.6,22,18.3,1119.66,95.42
D000223,삼선볶음밥,400,686.11,85.75,26.24,26.46,1.58,1213.56,326.52
D000225,새우초밥,250,387.67,78.42,16.8,0.75,11.65,1110.29,72.65
D000226,새우튀김롤,300,606.5,96.28,14.47,18.17,11.14,1391.43,55.88
D000227,샐러드김밥,250,405.95,61.45,9.62,13.52,3.42,911.18,84.58
D000228,생선초밥(광어),300,453.78,77.55,27.07,3.92,7.7,808.75,46.74
D000229,생선초밥(모듬),300,461.97,76.43,25.42,6.06,8.65,968.94,70.88
D000230,소고기국밥,700,330.53,42.6,21.8,8.1,2.8,1786.31,41.85
D000231,소고기김밥,250,400.61,62.52,15.98,9.63,0.84,1061.19,93.09
D000232,송이덮밥,600,581.81,95.6,18.21,14.06,2.27,1678.01,48.2
D000233,숯불갈비 삼각김밥,100,161.24,32.55,4,1.67,0.17,358.36,4.04
D000235,약초비빔밥,400,511.8,80.2,11.9,15.9,2.9,971.61,0
D000236,연어롤,300,510.19,74.32,18.57,15.4,8.47,1211.9,61.97
D000237,연어초밥,250,447.32,71.04,18.88,9.74,12.88,1064.39,32.05
D000238,오곡밥,250,388.82,82.32,11.95,1.3,0.17,113.9,0
D000243,자장밥,500,741.66,120.06,15.24,22.28,5.37,1560.38,26.44
D000245,잡탕밥,750,777.44,104.94,44.12,20.14,0.48,2109.52,329.85
D000246,장어덮밥,400,716.54,97.35,30.09,22.98,5.59,920.77,234.56
D000247,장어초밥,250,486.26,80.68,16.52,10.83,13.67,1270.91,102.77
D000251,참치덮밥,500,679.1,102.93,29.2,16.73,2.98,1618.75,115.79
D000252,참치마요네즈 삼각김밥,100,172.4,31.95,3.94,3.2,0.02,282.1,4.41
D000253,충무김밥,400,583.93,109.16,23.43,5.96,17.19,1294.27,156.85
D000256,캘리포니아롤,300,487.64,89.23,12.33,9.05,8.9,1295.88,65.96
D000258,한치초밥,250,374.18,77.92,13.71,0.85,13.13,1199.31,100.06
D000259,해물덮밥,700,771.93,100.45,42.04,22.44,1.19,1802.68,286.24
D000260,해물볶음밥,400,705.22,90.46,25.11,27,1.22,1074.35,241.8
D000261,회덮밥,500,683.02,103.3,30.21,16.55,10.93,744.27,88.65
D000265,깻잎나물볶음,200,206,11.5,7.5,14.4,0.6,1042.68,0
D000268,돼지고기볶음,200,350.67,18.21,22.96,20.67,8.2,1051.76,57.87
D000269,돼지껍데기볶음,150,352,24.5,25.8,16.7,5.5,779.81,47.75
D000270,두부김치,250,288.21,14.08,19.47,17.12,1.49,989.69,13.92
D000273,머위나물볶음,150,108,7.6,3.5,7,1.8,718.63,0
D000274,멸치풋고추볶음,20,52.38,3.41,4.65,2.24,1.43,275.54,36.6
D000276,소세지볶음,200,471,31.8,18.8,29.9,8.9,1436.06,60.26
D000277,순대볶음,400,582,76.7,20.7,21.3,5.4,1500.35,141.72
D000278,양송이버섯볶음,150,136,11,4.5,8.3,1.2,515.17,0
D000281,오삼불고기,200,363,20.5,25.6,19.9,7.6,885.09,184.46
D000285,주꾸미볶음,200,211.41,22.83,18.33,5.2,5.06,918.86,200.76
D000286,표고버섯볶음,150,142,15.8,4.5,6.7,2.6,574.8,0
D000287,해물볶음,400,419.06,32.2,38.2,15.3,7.4,1755.16,329.59
D000288,곰보빵,70,277.34,42.16,6.31,9.27,11.73,202.25,23.59
D000291,만주,70,222.49,46.8,5.13,1.64,22.45,118.19,15.67
D000294,버터크림빵,60,229.96,27.74,4.91,11.04,7.19,191.18,17.81
D000297,불고기피자,200,505,61.2,27.4,16.7,9.2,916.87,45.7
D000299,참치샌드위치,250,555,36.5,23.3,35.1,10.1,915.59,57.86
D000300,찹쌀도우넛,70,207.05,39.95,3.53,3.68,12.13,242.99,1.16
D000301,채소고로케,100,300.65,31.19,7.13,16.38,3.37,403.33,41.9
D000302,초콜릿케이크,100,420.24,43.6,5.32,24.96,23.13,170,50.84
D000303,치즈케이크,100,329.15,28.64,7.23,20.63,15.28,200.67,126.78
D000304,치즈피자,200,553,71.2,31.4,15.8,6.8,949.96,48.04
D000308,페이스트리빵,70,319.59,32.52,5.99,18.4,5.75,295.79,16.95
D000309,페퍼로니피자,200,532,70.3,29.4,14.8,7.5,945.22,41.73
D000310,포테이토피자,250,628,71.6,28,25.5,8.5,999.93,48.95
D000313,수정과,150,133,20.34,0.6,5.47,20.69,9.72,0
D000314,식혜,150,130.14,24.32,2.3,2.63,17.04,3.38,0
D000316,간장마늘쫑장아찌,50,30,5.4,1,0.5,3.9,813.64,0
D000317,고추장마늘쫑장아찌,50,55,10.5,1.3,0.9,5.6,707.34,0
D000321,매실장아찌,30,72.88,17.43,0.5,0.13,11.45,337.86,0
D000322,무장아찌,30,23.92,5.03,0.44,0.23,2.89,879.81,0.04
D000326,계적,250,488.08,0,57.72,30.43,0,210.11,169.21
D000327,낙지꼬지,80,75.35,2.83,13.14,1.28,0,207.07,133.75
D000328,돔베기적,100,159.49,0,30.08,7.42,0,451.25,64.23
D000329,소고기산적,200,453.08,7.33,48.41,25.57,0,1392.84,134.83
D000330,소라산적,80,120.1,6.45,17.92,2.51,0.85,396.68,100.34
D000331,오징어산적,80,101.71,3.6,17.38,1.98,0.92,477.11,234.25
D000332,홍어적,100,89.15,0,23.59,0.66,0.28,323.53,96.77
D000333,홍합산적,80,156.67,10.58,17.78,4.8,3.34,719.72,60.72
D000334,가자미전,150,230.28,6.92,25.76,11.07,0.31,819.37,176.27
D000336,고추전,150,274.69,17.01,12.91,17.22,2.17,362.21,78.81
D000337,굴전,100,195,14.5,10.6,10.5,1.3,325.7,96.88
D000339,깻잎전,150,361.1,14.54,17.74,25.78,1.06,480.15,131.8
D000340,녹두빈대떡,100,207.94,20.93,7.95,10.27,0.1,232.05,12.48
D000342,동그랑땡(육원전),150,309.2,12.68,19.62,20,0.98,553.09,103.27
D000343,동태전,150,268.05,10.54,22.64,15.04,0.22,702.16,178.76
D000345,두부전,150,254.64,7.5,20.46,15.87,0.03,317.15,3.28
D000346,미나리전,150,226.41,34.23,5.24,7.62,1.74,248.7,11.89
D000347,배추전,150,240.75,35.52,5.17,8.67,5.02,326.83,7.24
D000348,버섯전,150,240.69,16.19,10.52,14.87,2.74,313.76,100.1
D000350,야채전,100,194,21.6,5.4,9.5,2.4,321.52,43.15
D000351,파전,150,292.8,34.81,6.83,14.03,0.79,345.96,46.14
D000353,햄부침,100,244,11.3,11.3,17.1,1,715.66,72.11
D000354,호박부침개,100,129,10.1,3.9,8.1,3.6,174.33,52.48
D000355,호박전,150,208.1,16.1,6.48,13.09,2.85,276.95,92.53
D000356,화양적,150,272.65,21.35,13.58,14.77,1.21,797.03,123.25
D000357,가자미조림,300,297.98,21.5,37.1,7.1,10.5,1692.83,227.98
D000360,고추조림,100,111,13.4,3.3,4.9,7.1,779.1,7.09
D000362,동태조림,250,276,17.4,40.8,4.7,10.2,1391.69,218.45
D000363,돼지고기메추리알장조림,50,63.49,3.37,8.34,1.85,1.27,582.99,47.64
D000366,북어조림,100,181.86,17.14,20.83,3.33,8.2,765.95,99.63
D000367,소고기메추리알장조림,50,60.65,2.88,8.14,1.84,0.72,602.12,41.52
D000370,조기조림,300,384,12.8,41.1,18.8,4.5,1771.22,228.18
D000372,게살죽,800,564.83,107.35,17.9,7.1,0.17,1453.82,50.16
D000373,깨죽,800,515.35,79.31,13.66,15.94,3.59,1160.19,0
D000375,백합죽,700,455.28,84.7,16.5,5.6,0,996.8,32.1
D000376,소고기버섯죽,800,578.28,109.03,18.75,7.47,0.26,1261.8,26.08
D000377,어죽,800,552.06,100.8,20.4,7.5,9.8,2105.53,35.47
D000378,잣죽,700,874.48,155.28,19.18,19.63,2.36,878.81,0
D000380,참치죽,800,659.6,104.57,24.19,16.06,1.36,1342.4,39.96
D000384,고등어찌개,600,601.62,25.6,48.9,33.7,7.4,2584.06,156.06
D000385,김치찌개,400,243.03,11.93,15.07,15.01,3.03,1962.14,25.18
D000386,꽁치찌개,300,355,12.2,24,23.3,5.9,1296.4,63.32
D000389,두부전골,500,315.16,17.1,25.6,16.1,3.5,1650.77,8.85
D000390,버섯찌개,400,167.56,15.4,14.7,5.2,4.4,1293.87,16.55
D000392,부대찌개,600,399.5,39.7,18.4,18.6,6.2,2321.9,52.54
D000393,새우젓두부찌개,300,166,7.2,16.2,8.1,1.7,1123.08,10.71
D000394,소곱창전골,600,529,29.2,41.6,27.3,2.3,1779.63,453.19
D000399,햄김치찌개,300,189,12.7,11.1,10.4,3.6,1583.05,29.12
D000400,호박찌개,300,95,12.2,5.6,2.6,5.8,1024.11,9.26
D000404,대구찜,500,376.42,24.7,51.7,7.9,5.7,1898.67,263.32
D000405,도미찜,100,125.51,0.54,23,3.49,0,839.96,99.01
D000406,동태찜,500,394.32,25.8,50.9,9.7,5.7,1985.6,284.22
D000408,돼지등갈비찜,450,961.04,57.4,72.1,49.2,24.1,2395.17,199.57
D000409,돼지머리고기,200,650,3.5,42.4,52,0.1,333.64,171.1
D000410,매운갈비찜,300,517.44,23.7,61.3,19.7,10.7,1138.51,163.29
D000411,문어숙회,80,66.91,0.73,14.86,0.51,0,208.33,140.11
D000412,민어찜,100,136.88,0,21.47,5.91,0,1089.44,97.77
D000413,병어찜,100,179.69,0.16,18.86,11.52,0,650.98,71.92
D000414,북어찜,150,235,18,28.1,5.7,6.4,900.98,153.1
D000415,붕어찜,1100,835.6,71.6,54.3,36.9,16.2,3952.03,186.23
D000416,소갈비찜,250,494.6,13.14,49.86,26.96,4.32,753.64,141.48
D000417,순대,300,542.42,58.36,19.56,25.64,3.5,1019.19,19.22
